x,y,theta
-3.3521,0.5674,-2.3242
-3.3877,0.5295,-2.2754
-3.4210,0.4902,-2.2155
-3.4514,0.4499,-2.1420
-3.4780,0.4085,-2.0527
-3.5001,0.3662,-1.9582
-3.5176,0.3231,-1.8811
-3.5317,0.2792,-1.8266
-3.5434,0.2344,-1.7961
-3.5539,0.1887,-1.7891
-3.5642,0.1421,-1.7972
-3.5752,0.0947,-1.8118
-3.5870,0.0466,-1.8324
-3.6000,-0.0018,-1.8589
-3.6144,-0.0504,-1.8913
-3.6305,-0.0989,-1.9295
-3.6485,-0.1472,-1.9737
-3.6689,-0.1949,-2.0239
-3.6917,-0.2418,-2.0798
-3.7174,-0.2878,-2.1413
-3.7461,-0.3325,-2.1413
-3.7531,-0.3834,-2.4601
-3.7931,-0.4159,-2.4921
-3.8341,-0.4470,-2.5177
-3.8759,-0.4771,-2.5369
-3.9183,-0.5064,-2.5496
-3.9611,-0.5352,-2.5558
-4.0040,-0.5636,-2.5557
-4.0469,-0.5921,-2.5491
-4.0895,-0.6208,-2.5360
-4.1316,-0.6500,-2.5163
-4.1730,-0.6799,-2.4901
-4.2135,-0.7107,-2.4586
-4.2529,-0.7428,-2.4254
-4.2912,-0.7761,-2.3907
-4.3282,-0.8106,-2.3547
-4.3639,-0.8464,-2.3174
-4.3982,-0.8835,-2.2787
-4.4311,-0.9219,-2.2388
-4.4624,-0.9617,-2.1977
-4.4922,-1.0028,-2.1555
-4.5204,-1.0454,-2.1123
-4.5468,-1.0893,-2.0683
-4.5715,-1.1347,-2.0237
-4.5943,-1.1816,-1.9786
-4.6152,-1.2299,-1.9339
-4.6340,-1.2796,-1.8894
-4.6508,-1.3304,-1.8449
-4.6653,-1.3821,-1.7998
-4.6775,-1.4344,-1.7537
-4.6873,-1.4872,-1.7062
-4.6945,-1.5402,-1.6568
-4.6991,-1.5932,-1.6052
-4.7009,-1.6459,-1.5507
-4.6999,-1.6982,-1.4930
-4.6958,-1.7497,-1.4315
-4.6887,-1.8004,-1.3659
-4.6785,-1.8499,-1.2958
-4.6649,-1.8980,-1.2208
-4.6479,-1.9444,-1.1410
-4.6274,-1.9891,-1.0562
-4.6034,-2.0317,-0.9671
-4.5756,-2.0720,-0.8741
-4.5439,-2.1098,-0.7783
-4.5084,-2.1448,-0.6811
-4.4688,-2.1769,-0.5838
-4.4251,-2.2058,-0.4879
-4.3771,-2.2313,-0.3949
-4.3248,-2.2531,-0.3059
-4.2680,-2.2710,-0.3059
-4.2532,-2.2812,-0.1562
-4.2020,-2.2892,-0.1439
-4.1507,-2.2967,-0.1322
-4.0993,-2.3035,-0.1211
-4.0478,-2.3098,-0.1106
-3.9963,-2.3155,-0.1006
-3.9447,-2.3207,-0.0912
-3.8930,-2.3254,-0.0824
-3.8413,-2.3297,-0.0742
-3.7896,-2.3335,-0.0666
-3.7377,-2.3370,-0.0595
-3.6859,-2.3401,-0.0530
-3.6339,-2.3428,-0.0471
-3.5820,-2.3453,-0.0418
-3.5299,-2.3475,-0.0371
-3.4779,-2.3494,-0.0329
-3.4258,-2.3511,-0.0293
-3.3737,-2.3526,-0.0263
-3.3215,-2.3540,-0.0238
-3.2694,-2.3553,-0.0220
-3.2172,-2.3564,-0.0206
-3.1649,-2.3575,-0.0199
-3.1127,-2.3585,-0.0197
-3.0604,-2.3596,-0.0201
-3.0082,-2.3606,-0.0211
-2.9559,-2.3617,-0.0226
-2.9036,-2.3629,-0.0247
-2.8513,-2.3642,-0.0274
-2.7990,-2.3656,-0.0306
-2.7468,-2.3672,-0.0344
-2.6945,-2.3690,-0.0388
-2.6422,-2.3711,-0.0437
-2.5900,-2.3733,-0.0492
-2.5377,-2.3759,-0.0553
-2.4855,-2.3788,-0.0620
-2.4333,-2.3820,-0.0692
-2.3811,-2.3857,-0.0770
-2.3290,-2.3897,-0.0853
-2.2769,-2.3941,-0.0942
-2.2248,-2.3991,-0.1037
-2.1728,-2.4045,-0.1037
