x,y,theta
1.3514,-10.2657,-1.4390
1.3546,-10.2902,-1.4411
1.3580,-10.3148,-1.4324
1.3616,-10.3399,-1.4341
1.3651,-10.3657,-1.4367
1.3801,-10.3926,-1.4354
1.3835,-10.4181,-1.4357
1.3871,-10.4436,-1.4323
1.3905,-10.4686,-1.4344
1.3939,-10.4933,-1.4356
1.4088,-10.5205,-1.4401
1.4120,-10.5455,-1.4429
1.4153,-10.5706,-1.4451
1.4184,-10.5957,-1.4463
1.4216,-10.6208,-1.4480
1.4237,-10.6458,-1.4480
1.4179,-10.6712,-1.4478
1.4210,-10.6962,-1.4484
1.4261,-10.7212,-1.4496
1.4456,-10.7339,-1.4502
1.4487,-10.7590,-1.4518
1.4507,-10.7840,-1.4531
1.4446,-10.8089,-1.4544
1.4476,-10.8342,-1.4554
1.4516,-10.8595,-1.4564
1.4624,-10.8784,-1.4619
1.4656,-10.9067,-1.4603
1.4680,-10.9276,-1.4596
1.4704,-10.9479,-1.4599
1.4741,-10.9726,-1.4594
1.4767,-10.9955,-1.4602
1.4792,-11.0192,-1.4659
1.4817,-11.0434,-1.4715
1.4841,-11.0661,-1.4714
1.4883,-11.0929,-1.4707
1.4996,-11.1174,-1.4640
1.5023,-11.1421,-1.4618
1.5050,-11.1673,-1.4604
1.5076,-11.1922,-1.4670
1.5103,-11.2171,-1.4694
1.5129,-11.2421,-1.4720
1.5160,-11.2692,-1.4456
1.5192,-11.2951,-1.4490
1.5223,-11.3199,-1.4496
1.5255,-11.3449,-1.4470
1.5286,-11.3680,-1.4463
1.5335,-11.3970,-1.4412
1.5368,-11.4224,-1.4382
1.5501,-11.4472,-1.4409
1.5533,-11.4722,-1.4402
1.5566,-11.4971,-1.4385
1.5608,-11.5253,-1.3983
1.5653,-11.5513,-1.3993
1.5797,-11.5762,-1.3728
1.7643,-11.9995,-0.9733
1.7925,-12.0298,-0.9645
1.8091,-12.0501,-0.9546
1.8258,-12.0704,-0.9507
1.8480,-12.0907,-0.9456
1.8625,-12.1107,-0.9397
1.8771,-12.1282,-0.9342
1.8996,-12.1510,-0.9279
1.9146,-12.1710,-0.9215
1.9297,-12.1908,-0.9174
1.9449,-12.2107,-0.9132
1.9621,-12.2321,-0.8649
1.9791,-12.2510,-0.8360
1.9959,-12.2697,-0.8319
2.0154,-12.2871,-0.7678
2.0358,-12.2984,-0.7163
2.0551,-12.3152,-0.7177
2.0766,-12.3380,-0.7197
2.0937,-12.3607,-0.7120
2.1131,-12.3770,-0.6978
2.1326,-12.3931,-0.6924
2.1531,-12.4070,-0.6387
2.1732,-12.4219,-0.6348
2.1932,-12.4365,-0.6276
2.2150,-12.4519,-0.5836
2.2374,-12.4657,-0.5431
2.2591,-12.4787,-0.5382
2.2805,-12.4913,-0.5285
2.3018,-12.5037,-0.5227
2.3333,-12.5159,-0.5130
2.3562,-12.5280,-0.4571
2.3792,-12.5394,-0.4607
2.4020,-12.5407,-0.4532
2.4267,-12.5516,-0.3754
2.4500,-12.5606,-0.3674
2.4832,-12.5695,-0.3613
2.5065,-12.5783,-0.3549
2.5302,-12.5870,-0.3485
2.5543,-12.5856,-0.3243
2.5785,-12.5932,-0.3021
2.6022,-12.6006,-0.2978
2.6282,-12.6081,-0.2501
2.6527,-12.6143,-0.2495
2.6800,-12.6204,-0.2443
2.7120,-12.6264,-0.2025
2.7366,-12.6310,-0.1856
2.7644,-12.6357,-0.1826
2.7959,-12.6403,-0.1818
2.8225,-12.6449,-0.1437
2.8476,-12.6486,-0.1370
2.8721,-12.6513,-0.1206
2.8995,-12.6539,-0.0577
3.0962,-12.6372,0.0810
3.1201,-12.6457,0.0574
3.1475,-12.6457,0.0513
3.1728,-12.6443,0.0595
3.2031,-12.6395,0.1629
3.2281,-12.6354,0.1633
3.2526,-12.6213,0.1691
3.2773,-12.6170,0.1787
3.3015,-12.6126,0.1851
3.3275,-12.6058,0.1955
3.3517,-12.6010,0.1914
3.3754,-12.5974,0.1775
3.3993,-12.5928,0.1704
3.4237,-12.5887,0.1498
3.4478,-12.5847,0.1767
3.4719,-12.5803,0.1763
3.4987,-12.5761,0.1363
3.5261,-12.5718,0.1209
3.5497,-12.5692,0.1157
3.5824,-12.5631,0.1202
3.6066,-12.5547,0.1313
3.6312,-12.5516,0.1274
3.6559,-12.5486,0.1244
3.6759,-12.5423,0.1242
3.7004,-12.5393,0.1217
3.7355,-12.5362,0.1230
3.7605,-12.5331,0.1219
3.7814,-12.5301,0.1191
3.8131,-12.5258,0.1128
3.8387,-12.5230,0.1103
3.8640,-12.5202,0.1093
3.8892,-12.5175,0.1076
3.9123,-12.5100,0.1316
3.9315,-12.5007,0.1317
3.9562,-12.4975,0.1329
3.9811,-12.4943,0.1310
4.0061,-12.4911,0.1297
4.0307,-12.4879,0.1289
4.0561,-12.4848,0.1265
4.0812,-12.4817,0.1237
4.1061,-12.4786,0.1238
4.1315,-12.4755,0.1247
4.1567,-12.4724,0.1255
4.1816,-12.4693,0.1258
4.2070,-12.4662,0.1247
4.2323,-12.4630,0.1251
4.2575,-12.4599,0.1253
4.2824,-12.4568,0.1241
4.3078,-12.4536,0.1250
4.3333,-12.4504,0.1232
4.3537,-12.4473,0.1238
4.3859,-12.4427,0.1235
4.4064,-12.4396,0.1225
4.4263,-12.4365,0.1213
4.4517,-12.4335,0.1197
4.4723,-12.4257,0.1189
4.4918,-12.4174,0.1200
4.5171,-12.4144,0.1188
4.5472,-12.4113,0.1182
4.5777,-12.4084,0.1170
4.6031,-12.4054,0.1176
4.6236,-12.4024,0.1160
4.6436,-12.3994,0.1152
4.6687,-12.3965,0.1153
4.6967,-12.3920,0.1165
4.7220,-12.3891,0.1166
4.7470,-12.3862,0.1116
4.7723,-12.3834,0.1115
4.7978,-12.3805,0.1078
4.8228,-12.3778,0.1085
4.8480,-12.3750,0.1080
4.8734,-12.3722,0.1076
4.9014,-12.3680,0.1109
4.9266,-12.3651,0.1099
4.9518,-12.3572,0.1105
4.9769,-12.3495,0.1113
5.0018,-12.3467,0.1071
5.0301,-12.3426,0.1028
5.0554,-12.3399,0.1030
5.0833,-12.3359,0.1026
5.1087,-12.3332,0.1044
5.1339,-12.3305,0.1037
5.1594,-12.3279,0.1033
5.1849,-12.3252,0.1037
5.2048,-12.3226,0.1032
5.2253,-12.3200,0.1021
5.2506,-12.3173,0.1019
5.2819,-12.3043,0.0973
5.3070,-12.3018,0.0963
5.3390,-12.2987,0.0961
5.3645,-12.2962,0.0960
5.3896,-12.2938,0.0964
5.4149,-12.2914,0.0967
5.4401,-12.2890,0.0968
5.4653,-12.2865,0.0966
5.4907,-12.2941,0.0950
5.5162,-12.2917,0.0934
5.5415,-12.2894,0.0929
5.5695,-12.2758,0.0932
5.5950,-12.2735,0.0923
5.6205,-12.2711,0.0916
5.6459,-12.2688,0.0908
5.6713,-12.2665,0.0918
5.6965,-12.2640,0.0947
5.7218,-12.2617,0.0925
5.7473,-12.2593,0.0922
5.7754,-12.2559,0.0847
5.7960,-12.2540,0.0850
5.8237,-12.2498,0.1181
5.8439,-12.2475,0.1162
5.8652,-12.2450,0.1141
5.8874,-12.2425,0.1139
5.9104,-12.2397,0.1167
5.9353,-12.2354,0.1224
5.9594,-12.2324,0.1248
5.9836,-12.2294,0.1202
6.0081,-12.2264,0.1203
6.0325,-12.2234,0.1211
6.0597,-12.2087,0.1245
6.0845,-12.2056,0.1254
6.1122,-12.2009,0.1231
6.1373,-12.1978,0.1258
6.1684,-12.1947,0.1250
6.1973,-12.1915,0.1251
6.2224,-12.1884,0.1240
6.2477,-12.1853,0.1245
6.2730,-12.1821,0.1239
6.2982,-12.1790,0.1265
6.3235,-12.1774,0.1294
6.3557,-12.1741,0.1313
6.3809,-12.1708,0.1314
6.3986,-12.1559,0.1283
6.4238,-12.1527,0.1257
6.4510,-12.1492,0.1425
6.4829,-12.1438,0.1678
6.6688,-12.1032,0.2868
6.6926,-12.0950,0.3535
6.7162,-12.0863,0.3529
