x,y,theta
0.1581,0.8749,2.6155
0.1253,0.8940,2.6214
0.1031,0.9068,2.6259
0.0700,0.9256,2.6290
0.0476,0.9382,2.6352
0.0141,0.9567,2.6414
0.0018,0.9591,2.6430
-0.0324,0.9778,2.6447
-0.0561,0.9908,2.6266
-0.0913,1.0117,2.5852
-0.1142,1.0265,2.5548
-0.1365,1.0419,2.5217
-0.1562,1.0605,2.4264
-0.1740,1.0762,2.3963
-0.1917,1.0915,2.4130
-0.2121,1.0898,2.4657
-0.2307,1.1051,2.4657
-0.2504,1.1210,2.4630
-0.2701,1.1367,2.4636
-0.2893,1.1522,2.4650
-0.3089,1.1780,2.4715
-0.3296,1.1942,2.4952
-0.3515,1.2103,2.5332
-0.3848,1.2324,2.5862
-0.4074,1.2461,2.6223
-0.4302,1.2587,2.6612
-0.4488,1.2676,2.6949
-0.4966,1.2781,2.7452
-0.4927,1.2813,2.6777
-0.5270,1.2987,2.6766
-0.5493,1.3098,2.6774
-0.5711,1.3209,2.6765
-0.5958,1.3330,2.6790
-0.6172,1.3440,2.6787
-0.6597,1.3450,2.6802
-0.6835,1.3569,2.6797
-0.7061,1.3681,2.6807
-0.7285,1.3792,2.6818
-0.7512,1.3905,2.6815
-0.7740,1.4018,2.6779
-0.8185,1.4292,2.6745
-0.8424,1.4410,2.6905
-0.8796,1.4579,2.7362
-0.9045,1.4680,2.7716
-0.9425,1.4813,2.8349
-0.9676,1.4885,2.8785
-1.0085,1.4820,2.9702
-1.0301,1.4856,3.0122
-1.0687,1.4895,3.0838
-1.0952,1.4908,3.1207
-1.1352,1.4907,-3.1009
-1.1613,1.4896,-3.0658
-1.2002,1.4854,-2.9917
-1.2257,1.4811,-2.9445
-1.2640,1.4721,-2.8705
-1.2895,1.4645,-2.8261
-1.3271,1.4510,-2.7594
-1.3514,1.4402,-2.7072
-1.3872,1.4223,-2.6387
-1.4094,1.4095,-2.5947
-1.4413,1.3898,-2.5860
-1.4629,1.3766,-2.6059
-1.4996,1.3721,-2.7277
-1.5239,1.3617,-2.7537
-1.5590,1.3479,-2.7896
-1.5790,1.3401,-2.7828
-1.5936,1.3403,-2.7488
-1.6160,1.3313,-2.7505
-1.6391,1.3218,-2.7494
-1.6738,1.3074,-2.7493
-1.7047,1.2889,-2.7542
-1.7310,1.2781,-2.7542
-1.7535,1.2690,-2.7529
-1.7898,1.2543,-2.7523
-1.8135,1.2446,-2.7530
-1.8487,1.2303,-2.7563
-1.8835,1.2206,-2.7769
-1.9219,1.2069,-2.8299
-1.9472,1.1991,-2.8630
-1.9862,1.1890,-2.9176
-2.0114,1.1836,-2.9598
-2.0384,1.1720,-3.0416
-2.0586,1.1695,-3.0278
-2.0894,1.1663,-3.0281
-2.1135,1.1636,-3.0284
-2.1182,1.1574,-2.9666
-2.1426,1.1531,-2.9676
-2.1702,1.1480,-2.9635
-2.2005,1.1426,-2.9678
-2.2257,1.1381,-2.9678
-2.2815,1.1330,-2.9615
-2.3184,1.1262,-2.9635
-2.3432,1.1216,-2.9617
-2.3804,1.1148,-2.9598
-2.4055,1.1103,-2.9614
-2.4232,1.0940,-2.9677
-2.4487,1.0895,-2.9610
-2.4884,1.0814,-2.9185
-2.5147,1.0747,-2.8812
-2.5537,1.0629,-2.8213
-2.5789,1.0540,-2.7813
-2.5892,1.0286,-2.6844
-2.6178,1.0147,-2.6946
-2.6669,1.0174,-2.7470
-2.6907,1.0076,-2.7476
-2.7138,0.9980,-2.7473
-2.7465,0.9843,-2.7449
-2.7715,0.9739,-2.7431
-2.7943,0.9645,-2.7442
-2.8086,0.9445,-2.7279
-2.8448,0.9280,-2.6827
-2.8684,0.9158,-2.6458
-2.9029,0.8959,-2.5897
-2.9244,0.8821,-2.5492
-2.9642,0.8448,-2.4705
-2.9860,0.8286,-2.4881
-3.0033,0.8156,-2.4891
-3.0151,0.8155,-2.5517
-3.0359,0.8017,-2.5497
-3.0632,0.7831,-2.5465
-3.0852,0.7683,-2.5419
-3.1060,0.7545,-2.5463
-3.1278,0.7399,-2.5462
-3.1800,0.7085,-2.5552
-3.2009,0.6948,-2.5564
-3.2323,0.6741,-2.5568
-3.2535,0.6602,-2.5590
-3.2856,0.6391,-2.5586
-3.2975,0.6241,-2.5335
-3.3302,0.6004,-2.4809
-3.3509,0.5838,-2.4419
-3.3812,0.5571,-2.3869
-3.3999,0.5390,-2.3479
-3.4210,0.5168,-2.3194
-3.4246,0.4890,-2.2533
-3.4480,0.4576,-2.1756
-3.4626,0.4355,-2.1310
-3.4826,0.4013,-2.0651
-3.4946,0.3777,-2.0216
-3.5291,0.3205,-1.9269
-3.5378,0.2954,-1.8815
-3.5464,0.2657,-1.8344
-3.5521,0.2449,-1.8526
-3.5209,0.2396,-1.9071
-3.5289,0.2168,-1.9086
-3.5376,0.1922,-1.9115
-3.5458,0.1687,-1.9103
-3.5557,0.1397,-1.9077
-3.5643,0.1147,-1.9015
-3.5728,0.0801,-1.9042
-3.5814,0.0553,-1.9008
-3.5938,0.0189,-1.9015
-3.6018,-0.0045,-1.9034
-3.6141,-0.0403,-1.9054
-3.6327,-0.0841,-1.9167
-3.6456,-0.1200,-1.9158
-3.6542,-0.1442,-1.9166
-3.6680,-0.1817,-1.9398
-3.6780,-0.2069,-1.9702
-3.6968,-0.2529,-2.0581
-3.7097,-0.2764,-2.1012
-3.7309,-0.3103,-2.1644
-3.7423,-0.3270,-2.1838
-3.7350,-0.3250,-2.1293
-3.7498,-0.3482,-2.1335
-3.7625,-0.3684,-2.1339
-3.7768,-0.3909,-2.1472
-3.7914,-0.4127,-2.1810
-3.8282,-0.4432,-2.2502
-3.8450,-0.4635,-2.2872
-3.8624,-0.4831,-2.3221
-3.8805,-0.5019,-2.3636
-3.9068,-0.5271,-2.3919
-3.9236,-0.5422,-2.4370
-3.9556,-0.5656,-2.5298
-3.9776,-0.5802,-2.5724
-4.0113,-0.6003,-2.6413
-4.0344,-0.6123,-2.6873
-4.0694,-0.6282,-2.7424
-4.0924,-0.6380,-2.7430
-4.1168,-0.6429,-2.7102
-4.1405,-0.6543,-2.6815
-4.1757,-0.6727,-2.6406
-4.1959,-0.6842,-2.6111
-4.2134,-0.6947,-2.6100
-4.2271,-0.7097,-2.5608
-4.2469,-0.7226,-2.5630
-4.2683,-0.7363,-2.5657
-4.2895,-0.7599,-2.5683
-4.3191,-0.7792,-2.5658
-4.3406,-0.7931,-2.5682
-4.3598,-0.8059,-2.5400
-4.3811,-0.8213,-2.5019
-4.4120,-0.8459,-2.4434
-4.4309,-0.8624,-2.4027
-4.4549,-0.9527,-2.2780
-4.4709,-0.9719,-2.2646
-4.4762,-0.9902,-2.2766
-4.4961,-1.0147,-2.2104
-4.5111,-1.0355,-2.1665
-4.5325,-1.0683,-2.1129
