x,y,theta
0.10433785054479598,3.562143862776576,2.79462482119083
0.06060485015145106,3.577957544818297,2.8116548189787696
0.015380073774859266,3.5934450141622936,2.765558944455764
-0.026063805982174615,3.609807925571983,2.624047858928426
-0.05845411651684573,3.6282479338107865,2.2645855748349293
-0.07651818522634936,3.649966693642122,1.5122794479863104
-0.0749833395078807,3.676165859829407,0.8790505613100204
-0.04857690675863492,3.7080470871360602,0.6009212934919075
0.007973785624192695,3.7468120303255015,0.47115661631032807
0.09994141024340693,3.793662344161149,0.40032458376468016
0.2325986397018126,3.84979968340642,0.40032458376468016
0.18173656731724294,3.849512396886449,-3.1123345841051924
0.12995471730385963,3.8479969274646004,-3.1094457230789976
0.07830780466958705,3.8463360655881558,-3.106739625362222
0.02678685577149827,3.8445396770651694,-3.104218987777837
-0.024617103033333778,3.8426176277036923,-3.101886329151888
-0.07591304538783625,3.840579783311778,-3.099743986664096
-0.127109944934936,3.8384360096974817,-3.097794112512134
-0.1782167753175601,3.8361961726688545,-3.096038670883212
-0.22924251017863545,3.8338701380339484,-3.094479435225663
-0.28019612316108927,3.831467771600819,-3.0931179858134996
-0.3310865879078485,3.828998939177519,-3.091955707597695
-0.3819228780618401,3.8264735065721016,-3.09099378833674
-0.4327139672659911,3.8239013395926187,-3.0902332170009235
-0.4834688291632287,3.8212923040471254,-3.0896747824442965
-0.5341964373964796,3.8186562657436736,-3.0893190723402584
-0.5849057656086709,3.816003090490316,-3.0891664723763244
-0.6356057874427298,3.8133426440951075,-3.0892171657054237
-0.686305476541583,3.8106847923661,-3.089471132652402
-0.737013806548158,3.8080394011113463,-3.0899281506745875
-0.7877397511053814,3.805416336138902,-3.090587794577018
-0.8384922838561801,3.8028254632568173,-3.0914494369848744
-0.8892803784434817,3.800276648273147,-3.0925122490744807
-0.9401130085102128,3.7977797569959444,-3.093747467280552
-0.9909985158344123,3.795343270963493,-3.0928731292872094
-1.0418932371344596,3.79286174066129,-3.0859263993266195
-1.0926635445470505,3.7900326249923606,-3.0724237427418637
-1.1431668639756642,3.786533783732734,-3.052185604475037
-1.1932606213237797,3.7820430766584354,-3.0249560469620453
