x,y,theta
1.480075,-1.641570,0.800511
1.515258,-1.606044,0.782038
1.551020,-1.571100,0.767691
1.587208,-1.536598,0.757438
1.623679,-1.502394,0.751206
1.660295,-1.468346,0.748961
1.696919,-1.434306,0.750775
1.733411,-1.400125,0.756884
1.769616,-1.365641,0.767712
1.805359,-1.330678,0.783864
1.840432,-1.295042,0.806085
1.874586,-1.258526,0.835175
1.907526,-1.220912,0.871885
1.938909,-1.181990,0.916785
1.968343,-1.141574,0.970127
1.995402,-1.099532,1.031719
2.019647,-1.055807,1.100825
2.040655,-1.010439,1.176123
2.058065,-0.963572,1.255755
2.071613,-0.915447,1.337471
2.081165,-0.866372,1.418862
2.086734,-0.816687,1.497681
2.088464,-0.766721,1.572158
2.086598,-0.716758,1.641197
2.081434,-0.667028,1.704508
2.073273,-0.617701,1.762638
2.062376,-0.568905,1.816804
2.048929,-0.520748,1.868670
2.033038,-0.473343,1.919993
2.014728,-0.426818,1.972460
1.993958,-0.381338,2.027476
1.970650,-0.337106,2.085890
1.944721,-0.294357,2.147969
1.916115,-0.253352,2.213413
1.884829,-0.214354,2.281449
1.850926,-0.177609,2.350982
1.814536,-0.143324,2.420773
1.775849,-0.111653,2.489592
1.735099,-0.082685,2.556340
1.692541,-0.056444,2.620111
1.648437,-0.032894,2.680207
1.603039,-0.011946,2.736125
1.556581,0.006535,2.787530
1.509273,0.022714,2.834223
1.461294,0.036782,2.876133
1.412796,0.048944,2.913315
1.363904,0.059408,2.945963
1.314716,0.068379,2.974420
1.265308,0.076046,2.999185
1.215736,0.082571,3.020906
1.166041,0.088085,3.040351
1.116252,0.092677,3.058357
1.066391,0.096398,3.075770
1.016473,0.099255,3.093359
0.966512,0.101220,3.111738
0.916523,0.102240,3.131294
0.866523,0.102249,-3.131050
0.816535,0.101185,-3.109119
0.766583,0.099003,-3.086575
0.716693,0.095687,-3.064121
0.666889,0.091264,-3.042600
0.617189,0.085804,-3.022880
0.567598,0.079421,-3.005741
0.518113,0.072261,-2.991777
0.468720,0.064496,-2.981326
0.419396,0.056303,-2.974443
0.370114,0.047859,-2.970912
0.320849,0.039318,-2.970304
0.271577,0.030813,-2.972050
0.222283,0.022445,-2.975539
0.172953,0.014284,-2.980198
0.123583,0.006376,-2.985559
0.074169,-0.001256,-2.991294
0.024710,-0.008598,-2.997225
-0.024791,-0.015642,-3.003297
-0.074334,-0.022383,-3.009537
-0.123919,-0.028810,-3.016011
-0.173546,-0.034908,-3.022776
-0.223214,-0.040663,-3.029846
